column_label,item_code,source_item_code,item_type,variable_name,description,source
Rents and Royalties,Rents_Royl,U4-,subtotal,Rents_Royl,Rents and royalties (includes U40 and U41),historical_user_guide
Net Lottery Revenue,U95,U95,item,NetLotRev,"Net lottery revenue, after prizes & admin expenses",historical_user_guide
Misc General Rev NEC,U99,U99,item,MiscGenNEC,Other miscellaneous general revenue,historical_user_guide
Liquor Stores Revenue,A90,A90,item,LiqStorRev,Liquor Stores Revenue,historical_user_guide
Total Utility Revenue,TotUtilRev,A9-,subtotal,TotUtilRev,Total Utility Charges,historical_user_guide
Water Utility Revenue,A91,A91,item,WatUtilRev,Water supply utility charges,historical_user_guide
Electric Utility Rev,A92,A92,item,EleUtilRev,Electric power utility charges,historical_user_guide
Gas Utility Rev,A93,A93,item,GasUtilRev,Gas supply utility charges,historical_user_guide
Transit Utility Rev,A94,A94,item,TrnUtilRev,Transit systems utility charges,historical_user_guide
Total Insur Trust Rev,TotInsRev,DDD,derived,TotInsRev,Total Insurance Trust Revenue (includes systems not listed separately),historical_user_guide
Total Insur Trust Ctrb,TotInsCtrb,DDD,derived,TotInsCtrb,Total insurance trust contributions,historical_user_guide
Tot Ins Trust Inv Rev,TotInsInv,DDD,derived,TotInsInv,Total insurance trust earnings on investments,historical_user_guide
Total Emp Ret Rev,TotEmpRRev,DDD,derived,TotEmpRRev,Total revenue,historical_user_guide
Emp Ret-Total Ctrib,EmpR_TotCb,DDD,derived,EmpR_TotCb,Total contributions (Note: Not sum of detail below),historical_user_guide
Emp Ret-Loc Emp Ctrib,X01,X01,item,EmpR_EmpCb,Contributions from employees (includes any X02),historical_user_guide
Emp Ret-Loc To Loc Sys,X04,X04,item,EmpR_LocLo,Local government contribution to local system (intragovernmental transfer),historical_user_guide
Emp Ret-From Other Gov,X05,X05,item,EmpR_OthGv,Contribution from other governments,historical_user_guide
Emp Ret-Sta To Sta Ctr,X06,X06,item,EmpR_StaSt,State government contribution to own system (sic),historical_user_guide
Emp Ret-Int Rev,X08,X08,item,EmpR_IntRv,Interest on investments,historical_user_guide
Emp Ret-Other Earnings,X09,X09,item,EmpR_OthEr,Other investment earnings,historical_user_guide
Total Unemp Rev,TotUnemRev,DDD,derived,TotUnemRev,Total revenue,historical_user_guide
Unemp-Payroll Tax,Y01,Y01,item,Unem_PyTax,Contributions from employers (payroll taxes),historical_user_guide
Unemp-Int Revenue,Y02,Y02,item,Unem_IntRv,Interest credited by Federal Government,historical_user_guide
Unemp-Federal Advances,Y04,Y04,item,Unem_FedAv,Advances and contributions from Federal Government,historical_user_guide
Total Expenditure,TotExpend,DDD,derived,TotExpend,Total Expenditure,historical_user_guide
Total IG Expenditure,TotIGExp,DDD,derived,TotIGExp,Total Intergovernmental Expenditure,historical_user_guide
Direct Expenditure,TotDirExp,DDD,derived,TotDirExp,Direct Expenditure,historical_user_guide
Total Current Expend,TotCurrExp,DDD,derived,TotCurrExp,Total Current Expenditure (= C301 - C307),historical_user_guide
Total Current Oper,TotCurrOp,E--,subtotal,TotCurrOp,Total Current Operations,historical_user_guide
Total Capital Outlays,TotCapOut,DDD,derived,TotCapOut,Total Capital Outlays,historical_user_guide
Total Construction,TotConstr,F--,subtotal,TotConstr,Construction Only,historical_user_guide
Tot Assist & Subsidies,TotAssist,DDD,derived,TotAssist,Total Assistance And Subsidies,historical_user_guide
Total Interest on Debt,TotIntExp,I--,subtotal,TotIntExp,Total Interest On Debt,historical_user_guide
Total Insur Trust Ben,TotInsTExp,DDD,derived,TotInsTExp,Total Insurance Trust Benefits (includes systems not listed separately below),historical_user_guide
Total Salaries & Wages,Z00,Z00,item,Sal_Wages,Exhibit: Total Salaries And Wages,historical_user_guide
General Expenditure,GenExpend,DDD,derived,GenExpend,General Expenditure,historical_user_guide
IG Exp-To State Govt,IGE_ToSta,L--,subtotal,IGE_ToSta,To State Governments,historical_user_guide
IG Exp-To Local Govts,IGE_ToLoc,DDD,derived,IGE_ToLoc,To Local Governments,historical_user_guide
IG Exp-To Federal Govt,IGE_ToFed,S--,subtotal,IGE_ToFed,To Federal Government,historical_user_guide
Direct General Expend,GenDirExp,DDD,derived,GenDirExp,Direct General Expenditure,historical_user_guide
General Current Expend,GenCurrExp,DDD,derived,GenCurrExp,General Current Expenditure (= C315 - C329),historical_user_guide
General Current Oper,GenCurrOp,E--,subtotal,GenCurrOp,General Current Operations,historical_user_guide
General Capital Outlay,GenCapOut,DDD,derived,GenCapOut,General Capital Outlays,historical_user_guide
General Construction,GenConstr,F--,subtotal,GenConstr,General Construction,historical_user_guide
General Assist & Sub,GenAssist,DDD,derived,GenAssist,Assistance and subsidies (same as C311 above),historical_user_guide
General Debt Interest,general_debt_interest,I89,item,GenIntExp,Interest on general debt (same as I89 below),historical_user_guide
Air Trans-Total Expend,Airp_Tot,-01,subtotal,Airp_Tot,"Air Transportation, Total",historical_user_guide
Air Trans-Direct Expend,Airp_Dir,-01,subtotal,Airp_Dir,Direct expenditure,historical_user_guide
Air Trans-Cap Outlay,Airp_Cap,DDD,derived,Airp_Cap,Capital outlays,historical_user_guide
Air Trans-Construction,F01,F01,item,Airp_Con,Construction,historical_user_guide
Air Trans-IG To State,L01,L01,item,Airp_IGS,To state government,historical_user_guide
Air Trans-IG-Local Govts,M01,M01,item,Airp_IGL,"To local governments, total (includes N01, O01, P01, and R01)",historical_user_guide
Misc Com Activ-Tot Exp,MisCom_Tot,-03,subtotal,MisCom_Tot,"Miscellaneous Commercial Activities, Total",historical_user_guide
Misc Com Activ-Cap Out,MisCom_Cap,DDD,derived,MisCom_Cap,Capital outlays,historical_user_guide
Misc Com Activ-Constr,F03,F03,item,MisCom_Con,Construction,historical_user_guide
Correct-Total Exp,Correc_Tot,-05,subtotal,Correc_Tot,"Corrections, Total (includes -04, Correctional Institutions)",historical_user_guide
Correct-Direct Exp,Correc_Dir,-05,subtotal,Correc_Dir,Direct expenditure,historical_user_guide
Correct-Cap Outlay,Correc_Cap,DDD,derived,Correc_Cap,Capital outlays,historical_user_guide
Correct-Construct,F05,F05,item,Correc_Con,Construction,historical_user_guide
Correct-IG To St,L05,L05,item,Correc_IGS,To state government,historical_user_guide
Correct-IG-Loc Govts,M05,M05,item,Correc_IGL,"To local governments, total (includes N05, O05, P05, and R05)",historical_user_guide
Total Educ-Total Exp,TotEd_Tot,DDD,derived,TotEd_Tot,"Total Education, Total",historical_user_guide
Total Educ-Direct Exp,TotEd_Dir,DDD,derived,TotEd_Dir,Direct Expenditure,historical_user_guide
Total Educ-Assist & Sub,total_educ_assist_sub,J19,item,TotEd_A&S,Assistance and subsidies (same as E19 below),historical_user_guide
Total Educ-Cap Outlay,TotEd_Cap,DDD,derived,TotEd_Cap,Capital outlays,historical_user_guide
Total Educ-Construct,TotEd_Con,DDD,derived,TotEd_Con,Construction,historical_user_guide
Elem Educ-Total Exp,ElSEd_Tot,-12,subtotal,ElSEd_Tot,"Elementary and Secondary Education, Total",historical_user_guide
Elem Educ-Direct Exp,ElSEd_Dir,-12,subtotal,ElSEd_Dir,Direct expenditure,historical_user_guide
Elem Educ-Cap Outlay,ElSEd_Cap,DDD,derived,ElSEd_Cap,Capital outlays,historical_user_guide
Elem Educ-Construction,F12,F12,item,ElSEd_Con,Construction,historical_user_guide
Elem Educ-IG To State,L12,L12,item,ElSEd_IGS,To state government,historical_user_guide
Elem Educ-IG-Local Govts,M12,M12,item,ElSEd_IGL,"To local governments NEC (includes N12, O12, P12, Q12, and R12)",historical_user_guide
Elem Educ-IG-Sch to Sch,Q11,Q11,item,ElSEd_IGSc,Interschool District Transfers,historical_user_guide
Higher Ed-Total Exp,HiEd_Tot,-18,subtotal,HiEd_Tot,"Higher Education, Total (includes -16, Auxiliary Enterprises)",historical_user_guide
Higher Ed-Direct Exp,HiEd_Dir,-18,subtotal,HiEd_Dir,Direct expenditure,historical_user_guide
Higher Ed-Cap Outlay,HiEd_Cap,DDD,derived,HiEd_Cap,Capital outlays,historical_user_guide
