column_label,item_code,source_item_code,item_type,variable_name,description,source
Oth Nonin Fd-Cash & Sec,Other_CSc,DDD,derived,Other_CSc,All Other Noninsurance Funds Cash and Securities,historical_user_guide
,19T,19T,item,,Beg LTD O/S-NG-public debt for private purpose,annual_tech_doc
,24T,24T,item,,LTD Iss-NG-public debt for private purpose,annual_tech_doc
,34T,34T,item,,LTD Ret-NG-public debt for private purpose,annual_tech_doc
,44T,44T,item,,LT Dbt O/S-NG-Industrial Rev,annual_tech_doc
,61V,61V,item,,Short Term Debt O/S-Beginning,annual_tech_doc
,A16,A16,item,,Higher Educ Auxiliary Charges,annual_tech_doc
,A18,A18,item,,Higher Educ Tuition Charges,annual_tech_doc
,A21,A21,item,,Education Other State Charges NEC,annual_tech_doc
,B91,B91,item,,Federal IG Water Utilities,annual_tech_doc
,B92,B92,item,,Federal IG Electric Utilities,annual_tech_doc
,B93,B93,item,,Federal IG Gas Utilities,annual_tech_doc
,B94,B94,item,,Federal IG Transit Utilities,annual_tech_doc
,C91,C91,item,,State IG Water Utilities,annual_tech_doc
,C92,C92,item,,State IG Electric Utilities,annual_tech_doc
,C93,C93,item,,State IG Gas Utilities,annual_tech_doc
,C94,C94,item,,State IG Transit Utilities,annual_tech_doc
,D91,D91,item,,Local IG Water Utilities,annual_tech_doc
,D92,D92,item,,Local IG Electric Utilities,annual_tech_doc
,D93,D93,item,,Local IG Gas Utilities,annual_tech_doc
,D94,D94,item,,Local IG Transit Utilities,annual_tech_doc
,E01,E01,item,,Air Trans Current Operation,annual_tech_doc
,E03,E03,item,,Misc Comm Act-Current Oper,annual_tech_doc
,E04,E04,item,,Correction Insts-Current Oper,annual_tech_doc
,E05,E05,item,,Correction NEC-Current Oper,annual_tech_doc
,E12,E12,item,,Elem Sec Educ-Current Oper,annual_tech_doc
,E16,E16,item,,Higher Education-Aux-Cur Oper,annual_tech_doc
,E18,E18,item,,Higher Educ Current Operation,annual_tech_doc
,E21,E21,item,,State Education-NEC-Current Oper,annual_tech_doc
,E22,E22,item,,Employment Sec Admin-Cur Op 1/,annual_tech_doc
,E23,E23,item,,Financial Adm-Curr Operation,annual_tech_doc
,E24,E24,item,,Local Fire Protection Curr Operation,annual_tech_doc
,E25,E25,item,,Judicial-Current Operation,annual_tech_doc
,E29,E29,item,,Central Staff-Curr Operation,annual_tech_doc
,E31,E31,item,,General Public Bldg-Curr Oper,annual_tech_doc
,E32,E32,item,,Health-Current Operation,annual_tech_doc
,E36,E36,item,,Hospitals-Current Oper,annual_tech_doc
,E44,E44,item,,Regular Highways-Current Oper,annual_tech_doc
,E45,E45,item,,Toll Highways-Current Oper,annual_tech_doc
,E50,E50,item,,Housing & Comm Dev-Curr Oper,annual_tech_doc
,E52,E52,item,,Libraries-Current Operation,annual_tech_doc
,E59,E59,item,,Natural Resources NEC-Cur Op,annual_tech_doc
,E60,E60,item,,Parking-Current Operation,annual_tech_doc
,E61,E61,item,,Parks & Rec-Current Operation,annual_tech_doc
,E62,E62,item,,Police Protection-Current Oper,annual_tech_doc
,E66,E66,item,,Protective Inspection-Curr Op,annual_tech_doc
,E77,E77,item,,Welfare Insts-Curr Operation,annual_tech_doc
,E79,E79,item,,Welfare NEC-Current Operation,annual_tech_doc
,E80,E80,item,,Sewerage-Current Operation,annual_tech_doc
,E81,E81,item,,Solid Waste Mgt - Current Oper,annual_tech_doc
,E85,E85,item,,State Veterans' Assistance-Current Op,annual_tech_doc
,E87,E87,item,,Water Transport-Current Oper,annual_tech_doc
,E89,E89,item,,General NEC-Current Operation,annual_tech_doc
,E90,E90,item,,Liquor Stores-Current Oper,annual_tech_doc
,E91,E91,item,,Water Utilities-Current Oper,annual_tech_doc
,E92,E92,item,,Electric Utilities-Current Op,annual_tech_doc
,E93,E93,item,,Gas Utilities-Current Oper,annual_tech_doc
,E94,E94,item,,Transit Utilities-Current Op,annual_tech_doc
,F04,F04,item,,Correction Insts-Construction,annual_tech_doc
,F16,F16,item,,Higher Education-Aux-Constr,annual_tech_doc
,F85,F85,item,,State Veterans' Assistance-Construction,annual_tech_doc
,G01,G01,item,,Air Trans Other Capital Outlay,annual_tech_doc
,G03,G03,item,,Misc Comm Act-Other Cap,annual_tech_doc
,G04,G04,item,,Correction Insts-Other Cap Out,annual_tech_doc
,G05,G05,item,,Correction-NEC-Other Cap Out,annual_tech_doc
,G12,G12,item,,Elem Sec Educ-Other Cap Outlay,annual_tech_doc
,G16,G16,item,,Higher Education-Aux-Other Cap,annual_tech_doc
,G18,G18,item,,Higher Educ Other Capital Out,annual_tech_doc
,G21,G21,item,,State Education-NEC-Other Cap Out,annual_tech_doc
,G22,G22,item,,Employment Sec Admin-Other Cap,annual_tech_doc
,G23,G23,item,,Financial Adm-Other Cap Outlay,annual_tech_doc
,G24,G24,item,,Local Fire Proction Other Cap Outlay,annual_tech_doc
,G25,G25,item,,Judicial-Other Capital Outlay,annual_tech_doc
,G29,G29,item,,Central Staff-Other Cap Out,annual_tech_doc
,G31,G31,item,,General Public Bldg-Other Cap,annual_tech_doc
,G32,G32,item,,Health-Other Capital Outlay,annual_tech_doc
,G36,G36,item,,Hospitals-Other Cap Out,annual_tech_doc
,G44,G44,item,,Regular Highways-Other Cap Out,annual_tech_doc
,G45,G45,item,,Toll Highways-Other Cap Outlay,annual_tech_doc
,G50,G50,item,,Housing & Comm Dev-Other Cap,annual_tech_doc
,G52,G52,item,,Libraries-Other Capital Outlay,annual_tech_doc
,G59,G59,item,,Natural Resource NEC-Other Cap,annual_tech_doc
,G60,G60,item,,Parking-Other Capital Outlay,annual_tech_doc
,G61,G61,item,,Parks & Rec-Other Capital Out,annual_tech_doc
,G62,G62,item,,Police Protection-Othr Cap Out,annual_tech_doc
,G66,G66,item,,Protective Inspec-Othr Cap Out,annual_tech_doc
,G77,G77,item,,Welfare Insts-Other Cap Outlay,annual_tech_doc
,G79,G79,item,,Welfare NEC-Other Capital Out,annual_tech_doc
,G80,G80,item,,Sewerage-Other Capital Outlay,annual_tech_doc
,G81,G81,item,,Solid Waste Mgt-Other Cap Out,annual_tech_doc
,G85,G85,item,,State 'Veterans' Assistance-Other Cap Out,annual_tech_doc
,G87,G87,item,,Water Transport-Other Cap out,annual_tech_doc
,G89,G89,item,,General NEC-Other Capital Out,annual_tech_doc
,G90,G90,item,,Liquor Stores-Other Cap Out,annual_tech_doc
,G91,G91,item,,Water Utilities-Other Cap Out,annual_tech_doc
,G92,G92,item,,Electric Utilities-Other Cap,annual_tech_doc
,G93,G93,item,,Gas Utilities-Other Cap Out,annual_tech_doc
,G94,G94,item,,Transit Utilities-Othr Cap Out,annual_tech_doc
,I89,I89,item,,General Interest on Debt,annual_tech_doc
,J19,J19,item,,Scholarships & Other Subsidies,annual_tech_doc
,J67,J67,item,,Welfare-Categorical Cash Asst,annual_tech_doc
,J68,J68,item,,Welfare-Cash Assistance,annual_tech_doc
,L04,L04,item,,Correctional Instituions IG to State,annual_tech_doc
,L36,L36,item,,Hospitals-IG to State,annual_tech_doc
,L91,L91,item,,Water Utilities-IG to State,annual_tech_doc
,L92,L92,item,,Elec Utilities-IG to State,annual_tech_doc
,L93,L93,item,,Gas Utilities-IG to State,annual_tech_doc
,L94,L94,item,,Transit Utilities-IG to State,annual_tech_doc
,M04,M04,item,,Correctional Instituions IG to Local,annual_tech_doc
,M30,M30,item,,General Support-IG-Local NEC,annual_tech_doc
,M36,M36,item,,Hospitals-IG to Local,annual_tech_doc
,M91,M91,item,,Water Utilities-IG to Local,annual_tech_doc
,M92,M92,item,,Elec Utilities-IG to Local,annual_tech_doc
,M93,M93,item,,Gas Utilities-IG to Local,annual_tech_doc
,M94,M94,item,,Transit Utilities-IG to Local,annual_tech_doc
,Q12,Q12,item,,Elem Sec Educ-State IG to Sch Dists (Was this ever decided?),annual_tech_doc
,Q18,Q18,item,,Higher Educ State IG to Sch Dists,annual_tech_doc
,S67,S67,item,,Welfare-Categorical-IG to Fed,annual_tech_doc
,U40,U40,item,,Rents,annual_tech_doc
,U41,U41,item,,Royalties,annual_tech_doc
,U50,U50,item,,Donations From Private Sources,annual_tech_doc
,W01,W01,item,,Sinking Fund-Cash & Deposits,annual_tech_doc
,W31,W31,item,,Bond Fund-Cash & Deposits,annual_tech_doc
,W61,W61,item,,Other Funds-Cash & Deposits,annual_tech_doc
,X02,X02,item,,Emp Ret-State Emp Contribution,annual_tech_doc
,X30,X30,item,,Empl Ret-Total Fed Securities,annual_tech_doc
,Y11,Y11,item,,Workers Comp-Other Contribs,annual_tech_doc
,Y12,Y12,item,,Workers Comp-Interest Earnings,annual_tech_doc
,Y14,Y14,item,,Workers Comp-Benefit Pmts,annual_tech_doc
,Y21,Y21,item,,'Workers Comp-Cash & Assets,annual_tech_doc
,Y51,Y51,item,,Other In Trst-Other Ctrb,annual_tech_doc
,Y52,Y52,item,,Other In Trust-Interest Rev,annual_tech_doc
,Y53,Y53,item,,Other Ins Trst-Benefit Paymts,annual_tech_doc
,Y61,Y61,item,,Other Ins Trust-Cash&Deposits,annual_tech_doc
,Z77,Z77,item,,Corporate bonds - Total (Market),annual_tech_doc
,Z78,Z78,item,,Corporate Stocks (Market),annual_tech_doc
