CO_NCM,CO_UNID,CO_SH6,CO_PPE,CO_PPI,CO_FAT_AGREG,CO_CUCI_ITEM,CO_CGCE_N3,CO_SIIT,CO_ISIC_CLASSE,CO_EXP_SUBSET,NO_NCM_POR,NO_NCM_ESP,NO_NCM_ING
38249983,10,382499,3990,3639,03,59899,240,2000,2029,1499,"Triisocianato de tiofosfato de fenila ou de trifenilmetano, em solução de cloreto de metileno ou de acetato de etila; preparações à base de tetraacetiletilenodiamina (TAED), em grânulos","Triisocianato de tiofosfato de fenil ou  de trifenilmetano, en solución de cloruro de metileno o de acetato de etilo; preparaciones a base de tetraacetiletilenodiamina  (TAED), en gránulos","Triisocyanate of phenyl thiophosphate  or triphenylmethane, in methylene chloride solution or ethyl acetate; preparations based on tetraacetyl ethylenediamine (TAED), in granules"
38249985,10,382499,3990,3639,03,59899,240,2000,2029,1499,Metilato de sódio em metanol,Metilato de sodio en metanol,Sodium methylate in methanol
38249986,10,382499,3990,3639,03,59899,240,2000,2029,1499,Maneb; mancozeb; cloreto de benzalcônio,Maneb; mancozeb; cloruro de benzalconio,Maneb; mancozeb; benzalkonium chloride
38249987,10,382499,3990,3639,03,59899,240,2000,2029,1499,Dispersão aquosa de microcápsulas de poliuretano ou de melamina-formaldeído contendo um precursor de corante em solventes orgânicos,Dispersión acuosa de poliuretano o microcápsulas de melamina-formaldehído que contienen un precursor de colorante en disolventes orgánicos,Aqueous dispersion of polyurethane or microcapsules of melamine-formaldehyde containing a dye precursor in organic solvents
38249988,10,382499,3990,3639,03,59899,240,2000,2029,1499,"Misturas constituídas principalmente pelos compostos seguintes: alquilfosfonofluoridatos de O-alquila (de até C10, incluindo os cicloalquilas), N,N-dialquilfosforoamidocianidatos de O-alquila (de até C10, incluindo os cicloalquilas), hidrogênio alquilfosf","Mezclas particularmente los siguientes compuestos: alquilfosfonofluoridatos O-alquilo (de hasta C10, incluyendo el cicloalquilo), N, N-dialquilfosforoamidocianidatos O-alquilo (de hasta C10, incluyendo el cicloalquilo), alquilfosf hidrógeno","Mixtures particularly of the following compounds: alquilfosfonofluoridatos O-alkyl (up to C10, including cycloalkyl), N, N-dialquilfosforoamidocianidatos O-alkyl (up to C10, including cycloalkyl), hydrogen alquilfosf"
38249989,10,382499,3990,3639,03,59899,240,2000,2029,1499,"Outros produtos e preparações à base de compostos orgânicos, não especificados nem compreendidos noutras posições","Otros productos y preparaciones de compuestos orgánicos de base, no expresados ni comprendidos en otra parte","Other products and basic organic compounds preparations, not specified or included elsewhere"
39014000,10,390140,3729,3729,03,5719,240,2000,2013,1407,"Copolímeros de etileno e alfa-olefina, de densidade inferior a 0,94","Copolímeros de etileno y alfa-olefina, densidad de menos de 0,94","Copolymers of ethylene and alpha-olefin, density of less than 0.94"
39076100,10,390761,3707,3707,03,57433,240,2000,2013,1407,"Poli(tereftalato de etileno), de um índice de viscosidade de 78 ml/g ou mais","Tereftalato de polietileno, el índice de viscosidad de 78 ml/g o más","Polyethylene terephthalate, the viscosity index of 78 ml/g or more"
39076900,10,390769,3707,3707,03,57433,240,2000,2013,1407,Outros poli(tereftalato de etileno),Otros tereftalato de etileno,Other ethylene terephthalate
39093100,10,390931,3769,3990,03,57543,240,2000,2013,1407,"Poli(isocianato de fenil metileno) (MDI bruto, MDI polimérico)","Poli (fenil isocianato de metileno) (MDI crudo, MDI polimérico)","Poly (phenyl methylene isocyanate) (MDI crude, MDIC polymeric)"
39093900,10,390939,3769,3990,03,57543,240,2000,2013,1407,Outras resinas amínicas,Otras resinas amínicas,Other amino-resins
40117010,11,401170,3040,3040,03,62551,280,3000,2211,1008,"Pneumáticos novos, de borracha, do tipo utilizado em veículos e máquinas agrícolas ou florestais, nas seguintes medidas: 4,00-15; 4,00-18; 4,00-19; 5,00-15; 5,00-16; 5,50-16; 6,00-16; 6,00-19; 6,00-20; 6,50-16; 6,50-20; 7,50-16; 7,50-18; 7,50-20","Neumáticos nuevos de caucho, de los tipos utilizados en vehículos y máquinas agrícolas y forestales, en las siguientes medidas: 4,00-15; 4,00-18; 4,00-19; 5,00-15; 5,00-16; 5,50-16; 6,00-16; 6,00-19; 6,00-20; 6,50-16; 6,50-20; 7,50-16; 7,50-18; 7,50-20","New pneumatic tires, of rubber, of a kind used in vehicles and machinery for agricultural and forestry purposes,in the following measures:4,00-15;4,00-18;4,00-19; 5,00-15;5,00-16; 5,50-16;6,00-16; 6,00-19;6,00-20; 6,50-16; 6,50-20; 7,50-16;7,50-18;7,50-20"
40117090,11,401170,3040,3040,03,62551,280,3000,2211,1008,"Pneumáticos novos, de borracha, do tipo utilizado em veículos e máquinas agrícolas ou florestais, em outras medidas","Neumáticos nuevos de caucho, de los tipos utilizados en vehículos y máquinas agrícolas y forestales, en otras medidas","New pneumatic tires, of rubber, of a kind used in vehicles and machinery for agricultural and forestry purposes, in other measures"
40118010,11,401180,3040,3040,03,62551,280,3000,2211,1008,"Pneumáticos novos, de borracha, radiais, para dumpers concebidos para serem utilizados fora de rodovias, com seção de largura igual ou superior a 940 mm (37), para aros de diâmetro igual ou superior a 1.448 mm (57"")""","Neumáticos nuevos de caucho, radial, para dumpers diseñados para su uso fuera de carretera, con una sección de anchura igual o mayor que 940 mm (37""), para aros de diámetro igual o mayor que 1.448 mm (57"")","New pneumatic tires, rubber, radial, for dumpers designed for off-highway use, with a section of a width equal or greater than 940 mm (37""), for rims of a diameter equal or greater than 1,448 mm (57"")"
56073000,10,560730,3990,3990,03,65751,240,4000,1394,1699,"Cordéis, cordas e cabos, de abaca ou outras fibras duras","Cordeles, cuerdas y cordajes, de abacá o ots.fibras duras","Twine, cordage, ropes and cables, of abaca or ot.hard fibr"
56074100,10,560741,3990,3990,03,65751,240,4000,1394,1699,"Cordéis para atadeiras ou enfardadeiras, de polietileno ou de polipropileno","Cordeles de polietileno/polipropileno, p/atar/engavillar","Polyethylene lines/polypropylene, binder/baler"
56074900,10,560749,3990,3990,03,65751,240,4000,1394,1699,"Outros cordéis, cordas, etc, de polietileno/polipropileno","Otros cordeles, cuerdas, etc.de polietileno/polipropileno","Other lines, ropes, etc.polyethylene/polypropylene"
56075011,10,560750,3990,3990,03,65751,240,4000,1394,1699,"Cordéis, cordas e cabos, de fibras de náilon","Cordeles, cuerdas y cordajes, de fibras de nailon","Lines, ropes, cables, of nylon fibres"
60064400,10,600644,3853,3853,03,65529,240,4000,1391,1699,"Outros tecidos de malha, de fibras artificiais, estampados","Ots.tejidos de punto, fibras artif.estampados","Other fabrics of mesh, artificial fibres, printed"
60069000,10,600690,3853,3853,03,65529,240,4000,1391,1699,"Outros tecidos de malha, de outros matérias têxteis","Ots.tejidos de punto, de ots.mater.textiles","Other fabrics of mesh, artific.fibres, of oth.text.mater."
61011000,11,610110,3497,3990,03,8431,321,4000,1410,1602,"Sobretudos, etc, de malha de lã/pelos finos, uso masculino","Abrigos, etc.de punto de lana/pelo fino, para hombres","Overcoats, etc.of wool/fine animal hair mesh, mascul.uses"
61012000,11,610120,3497,3990,03,8431,321,4000,1410,1602,"Sobretudos, japonas, gabões, capas, anoraques, casacos e semelhantes, de malha, de uso masculino, exceto os artefatos da posição 61.03, de algodão","Abrigos, etc.de punto de algodón, para hombres","Overcoats, etc.of cotton mesh, masculine uses"
61013000,11,610130,3497,3990,03,8431,321,4000,1410,1602,"Sobretudos, japonas, gabões, capas, anoraques, casacos e semelhantes, de malha, de uso masculino, exceto os artefatos da posição 61.03, de fibras sintéticas ou artificiais","Abrigos, etc.de punto de fibra sint/art.para hombres","Overcoats, etc.of fibre mesh synt/art.masculine uses"
61019000,11,610190,3497,3990,03,8431,321,4000,1410,1602,"Sobretudos, etc, de malha de outras matérias têxteis, uso masculino","Abrigos, etc.de punto de ots.mat.text.para hombres","Overcoats, etc.of mesh of ot.text.material, mascul.uses"
61019010,11,610190,3497,3990,03,8431,321,4000,1410,1602,"Sobretudos, japonas, gabões, capas, anoraques, casacos e semelhantes, de malha, de uso masculino, exceto os artefatos da posição 61.03, de lã ou pelos finos","Anoraks de punto y artículos similares, para hombres, exc. 6103 (de lana o pelo fino)","Mesh jackets and similar articles, masculine uses, except 6103 (of wool or fine animal hair)"
61019090,11,610190,3497,3990,03,8431,321,4000,1410,1602,"Sobretudos, japonas, gabões, capas, anoraques, casacos e semelhantes, de malha, de uso masculino, exceto os artefatos da posição 61.03, de outras matérias têxteis","Anoraks de punto y artículos similares, para hombres, exc. 6103 (de lana o pelo fino)","Mesh jackets and similar articles, masculine uses, except 6103 (of other textile materials)"
72106919,10,721069,3761,3761,03,67443,240,3000,2410,1506,"Outros laminados planos, de ferro ou aço não ligado, revestidos de ligas de alumínio-silício","Ots.lamin.hierro/acero, revest.de aluminio silicio","Oth.rolled iron/steel, coated with aluminium silicon"
72106990,10,721069,3761,3761,03,67443,240,3000,2410,1506,Outros laminados de ferro/aço,Ots.lamin.hierro/acero,Other rolled iron/steel
72107010,10,721070,3761,3761,03,67431,240,3000,2410,1506,"Produtos laminados planos, de ferro ou aço não ligado, de largura igual ou superior a 600 mm, folheados ou chapeados, pintados ou envernizados","Lamin.hierro/acero, a>=6dm, pintados o barnizados","Rolled iron/steel, w>=6dm, painted or varnished"
