id_tabela,nome_coluna,chave,cobertura_temporal,valor
school_enrollment,state_id,84,,Howland Island
school_enrollment,state_id,86,,Jarvis Island
school_enrollment,state_id,89,,Kingman Reef
school_enrollment,state_id,95,,Palmyra Atoll
school_enrollment,grade,-1,,Pre-K
school_enrollment,grade,0,,Kindergarten
school_enrollment,grade,1,,1
school_enrollment,grade,2,,2
school_enrollment,grade,3,,3
school_enrollment,grade,4,,4
school_enrollment,grade,5,,5
school_enrollment,grade,6,,6
school_enrollment,grade,7,,7
school_enrollment,grade,8,,8
school_enrollment,grade,9,,9
school_enrollment,grade,10,,10
school_enrollment,grade,11,,11
school_enrollment,grade,12,,12
school_enrollment,grade,13,,13
school_enrollment,grade,14,,Adult education
school_enrollment,grade,15,,Ungraded
school_enrollment,grade,99,,Total
school_enrollment,grade,999,,Not specified
school_enrollment,race,1,,White
school_enrollment,race,2,,Black
school_enrollment,race,3,,Hispanic
school_enrollment,race,4,,Asian
school_enrollment,race,5,,American Indian or Alaska Native
school_enrollment,race,6,,Native Hawaiian or other Pacific Islander
school_enrollment,race,7,,Two or more races
school_enrollment,race,8,,Nonresident alien
school_enrollment,race,9,,Unknown
school_enrollment,race,20,,Other
school_enrollment,race,99,,Total
school_enrollment,sex,1,,Male
school_enrollment,sex,2,,Female
school_enrollment,sex,3,,Gender Not-Identified
school_enrollment,sex,9,,Unknown
school_enrollment,sex,99,,Total
staff,state_id,01,,Alabama
staff,state_id,02,,Alaska
staff,state_id,03,,American Samoa
staff,state_id,04,,Arizona
staff,state_id,05,,Arkansas
staff,state_id,06,,California
staff,state_id,07,,Canal Zone
staff,state_id,08,,Colorado
staff,state_id,09,,Connecticut
staff,state_id,10,,Delaware
staff,state_id,11,,District of Columbia
staff,state_id,12,,Florida
staff,state_id,13,,Georgia
staff,state_id,14,,Guam
staff,state_id,15,,Hawaii
staff,state_id,16,,Idaho
staff,state_id,17,,Illinois
staff,state_id,18,,Indiana
staff,state_id,19,,Iowa
staff,state_id,20,,Kansas
staff,state_id,21,,Kentucky
staff,state_id,22,,Louisiana
staff,state_id,23,,Maine
staff,state_id,24,,Maryland
staff,state_id,25,,Massachusetts
staff,state_id,26,,Michigan
staff,state_id,27,,Minnesota
staff,state_id,28,,Mississippi
staff,state_id,29,,Missouri
staff,state_id,30,,Montana
staff,state_id,31,,Nebraska
staff,state_id,32,,Nevada
staff,state_id,33,,New Hampshire
staff,state_id,34,,New Jersey
staff,state_id,35,,New Mexico
staff,state_id,36,,New York
staff,state_id,37,,North Carolina
staff,state_id,38,,North Dakota
staff,state_id,39,,Ohio
staff,state_id,40,,Oklahoma
staff,state_id,41,,Oregon
staff,state_id,42,,Pennsylvania
staff,state_id,43,,Puerto Rico
staff,state_id,44,,Rhode Island
staff,state_id,45,,South Carolina
staff,state_id,46,,South Dakota
staff,state_id,47,,Tennessee
staff,state_id,48,,Texas
staff,state_id,49,,Utah
staff,state_id,50,,Vermont
staff,state_id,51,,Virginia
staff,state_id,52,,Virgin Islands of the US
staff,state_id,53,,Washington
staff,state_id,54,,West Virginia
